Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,Authority,Hub,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
344,"China, Hong Kong SAR",,23,513213361528,0,513213361528,0,55,0.074484,0,16,0,16,0,0,0,0
348,Hungary,,23,43207535501.61,0,43207535501.61,0,54,0.074484,0,16,0,16,0,0,0,0
352,Iceland,,23,1543655546.204,0,1543655546.204,0,173,0.070691,0,15,0,15,0,0,0,0
360,Indonesia,,7,113294296272.6,0,113294296272.6,0,172,0.074484,0,16,0,16,0,0,0,0
364,Iran,,23,38951606264.229996,0,38951606264.229996,0,180,0.070691,0,15,0,15,0,0,0,0
368,Iraq,,7,23348506823.9,0,23348506823.9,0,185,0.074484,0,16,0,16,0,0,0,0
372,Ireland,,26,24756580191.780003,0,24756580191.780003,0,184,0.074484,0,16,0,16,0,0,0,0
376,Israel,,26,36115160434.18,0,36115160434.18,0,141,0.069797,0,15,0,15,0,0,0,0
381,Italy,,23,206637939977,0,206637939977,0,140,0.074484,0,16,0,16,0,0,0,0
384,C̫te d'Ivoire,,23,4936692597.17,0,4936692597.17,0,122,0.074484,0,16,0,16,0,0,0,0
388,Jamaica,,26,2763797340.066,0,2763797340.066,0,121,0.074484,0,16,0,16,0,0,0,0
392,Japan,,7,371307629686,625381024538,996688654224,0,224,0.069579,0.26276,15,210,225,2,0.891791,0.939331,54.762859
398,Kazakhstan,,23,22515461874.46,0,22515461874.46,0,57,0.074484,0,16,0,16,0,0,0,0
399,OPEC,,7,441475769709,812308983372.8883,1253784753081.8882,0,224,0.069904,0.24538,16,191,207,2,0.829861,0.89749,37.17578
400,Jordan,,7,11244153228.800001,0,11244153228.800001,0,178,0.074484,0,16,0,16,0,0,0,0
404,Kenya,,7,14042084567.679998,0,14042084567.679998,0,177,0.074484,0,16,0,16,0,0,0,0
408,DPR Korea,,23,3026566946.745,0,3026566946.745,0,163,0.055678,0,12,0,12,0,0,0,0
410,Rep. of Korea,,7,301838203127,568817274626,870655477753,0,224,0.069608,0.261244,15,205,220,2,0.875458,0.92887,27.082917
414,Kuwait,,7,19106459682.44,0,19106459682.44,0,169,0.074484,0,16,0,16,0,0,0,0
417,Kyrgyzstan,,23,5796732068.672,0,5796732068.672,0,168,0.070691,0,15,0,15,0,0,0,0
418,Lao People's Dem. Rep.,,23,1734053643.53,0,1734053643.53,0,24,0.05718,0,12,0,12,0,0,0,0
422,Lebanon,,23,8923690454.880001,0,8923690454.880001,0,23,0.074484,0,16,0,16,0,0,0,0
426,Lesotho,,23,1136821043,0,1136821043,0,164,0.043213,0,9,0,9,0,0,0,0
428,Latvia,,23,10896479219.722,0,10896479219.722,0,22,0.074484,0,16,0,16,0,0,0,0
430,Liberia,,7,6669064996.42,0,6669064996.42,0,104,0.074484,0,16,0,16,0,0,0,0
434,Libya,,23,5313624086,0,5313624086,0,125,0.070107,0,15,0,15,0,0,0,0
440,Lithuania,,23,9294970047.31,0,9294970047.31,0,124,0.074484,0,16,0,16,0,0,0,0
442,Luxembourg,,23,12085197358.552,0,12085197358.552,0,123,0.074484,0,16,0,16,0,0,0,0
446,"China, Macao SAR",,23,6055387490,0,6055387490,0,195,0.05718,0,12,0,12,0,0,0,0
450,Madagascar,,23,1858364739.625,0,1858364739.625,0,194,0.070235,0,15,0,15,0,0,0,0
454,Malawi,,23,952488559.03,0,952488559.03,0,161,0.066375,0,14,0,14,0,0,0,0
458,Malaysia,,7,132351897686.2,204338447881,336690345567.2,0,224,0.069797,0.2511,15,196,211,2,0.847518,0.910042,27.16095
462,Maldives,,7,843860209.684,0,843860209.684,0,81,0.066442,0,14,0,14,0,0,0,0
466,Mali,,23,1023062999.36,0,1023062999.36,0,80,0.070691,0,15,0,15,0,0,0,0
470,Malta,,23,11533480769.84,0,11533480769.84,0,79,0.074484,0,16,0,16,0,0,0,0
478,Mauritania,,23,1387761383.825,0,1387761383.825,0,78,0.070691,0,15,0,15,0,0,0,0
480,Mauritius,,7,2612244035.14,0,2612244035.14,0,151,0.074484,0,16,0,16,0,0,0,0
484,Mexico,,26,315324562063.1,368111197682,683435759745.1,0,224,0.070691,0.203196,15,152,167,2,0.733129,0.817992,6.827373
496,Mongolia,,23,3351346139.154,0,3351346139.154,0,150,0.070107,0,15,0,15,0,0,0,0
498,Rep. of Moldova,,23,986465559.033,0,986465559.033,0,160,0.061999,0,13,0,13,0,0,0,0
499,Montenegro,,23,319762814,0,319762814,0,159,0.057419,0,12,0,12,0,0,0,0
500,Montserrat,,26,8965807,0,8965807,0,199,0.019644,0,4,0,4,0,0,0,0
504,Morocco,,23,14038530313.51,0,14038530313.51,0,175,0.069797,0,15,0,15,0,0,0,0
508,Mozambique,,23,6664709833.6,0,6664709833.6,0,174,0.074484,0,16,0,16,0,0,0,0
512,Oman,,7,19886815015.8,0,19886815015.8,0,16,0.074484,0,16,0,16,0,0,0,0
516,Namibia,,23,4692893659.83,0,4692893659.83,0,15,0.074484,0,16,0,16,0,0,0,0
520,Nauru,,7,52328956,0,52328956,0,14,0.018512,0,4,0,4,0,0,0,0
524,Nepal,,7,4228018677.294,0,4228018677.294,0,13,0.066136,0,14,0,14,0,0,0,0
527,"Oceania, nes",,7,329515572,0,329515572,0,219,0.014437,0,3,0,3,0,0,0,0
528,Netherlands,,23,299132306721,0,299132306721,0,106,0.074484,0,16,0,16,0,0,0,0
531,Cura̤ao,,26,1466185387.391,0,1466185387.391,0,105,0.074484,0,16,0,16,0,0,0,0
533,Aruba,,26,1309029977.9,0,1309029977.9,0,193,0.047183,0,10,0,10,0,0,0,0
534,Saint Maarten,,26,756296892,0,756296892,0,210,0.019583,0,4,0,4,0,0,0,0
535,Bonaire,,23,12060041,0,12060041,0,209,0.014589,0,3,0,3,0,0,0,0
540,New Caledonia,,7,1826838923.743,0,1826838923.743,0,149,0.070691,0,15,0,15,0,0,0,0
548,Vanuatu,,7,245714063.7297,0,245714063.7297,0,134,0.057307,0,12,0,12,0,0,0,0
554,New Zealand,,7,23877170070.949997,0,23877170070.949997,0,133,0.074484,0,16,0,16,0,0,0,0
558,Nicaragua,,26,3404165118.233,0,3404165118.233,0,132,0.074484,0,16,0,16,0,0,0,0
562,Niger,,7,1122444246.616,0,1122444246.616,0,162,0.057571,0,12,0,12,0,0,0,0
566,Nigeria,,23,24824353001.8,0,24824353001.8,0,75,0.074484,0,16,0,16,0,0,0,0
570,Niue,,7,7212200,0,7212200,0,221,0.004904,0,1,0,1,0,0,0,0
574,Norfolk Isds,,7,9586003,0,9586003,0,158,0.013252,0,3,0,3,0,0,0,0
577,"Other Africa, nes",,7,3691753521,0,3691753521,0,218,0.024316,0,5,0,5,0,0,0,0
579,Norway,,23,27028121272.699997,0,27028121272.699997,0,157,0.074484,0,16,0,16,0,0,0,0
580,N. Mariana Isds,,7,74512176,0,74512176,0,152,0.033297,0,7,0,7,0,0,0,0
581,United States Minor Outlying Islands,,26,11894739,0,11894739,0,203,0.014455,0,3,0,3,0,0,0,0
583,FS Micronesia,,7,123131569,0,123131569,0,21,0.033061,0,7,0,7,0,0,0,0
584,Marshall Isds,,7,15416926785.539,0,15416926785.539,0,20,0.065981,0,14,0,14,0,0,0,0
585,Palau,,7,71217890.573,0,71217890.573,0,19,0.033498,0,7,0,7,0,0,0,0
586,Pakistan,,23,31614798520.100002,0,31614798520.100002,0,52,0.074484,0,16,0,16,0,0,0,0
591,Panama,,7,31802990032.86,0,31802990032.86,0,126,0.074484,0,16,0,16,0,0,0,0
598,Papua New Guinea,,7,3718106568.122,0,3718106568.122,0,137,0.074484,0,16,0,16,0,0,0,0
600,Paraguay,,23,5988779032.398,0,5988779032.398,0,136,0.074484,0,16,0,16,0,0,0,0
604,Peru,,26,23955114444.42,0,23955114444.42,0,93,0.074484,0,16,0,16,0,0,0,0
608,Philippines,,7,67696303028.03001,0,67696303028.03001,0,92,0.074484,0,16,0,16,0,0,0,0
616,Poland,,23,102307613175,0,102307613175,0,91,0.074484,0,16,0,16,0,0,0,0
620,Portugal,,23,22253960102.97,0,22253960102.97,0,139,0.074484,0,16,0,16,0,0,0,0
624,Guinea-Bissau,,7,62640674.0481,0,62640674.0481,0,110,0.042867,0,9,0,9,0,0,0,0
626,Timor-Leste,,7,322995634.95,0,322995634.95,0,183,0.047874,0,10,0,10,0,0,0,0
634,Qatar,,7,21102223824.94,0,21102223824.94,0,109,0.074484,0,16,0,16,0,0,0,0
642,Romania,,23,24489802668.27,0,24489802668.27,0,127,0.074484,0,16,0,16,0,0,0,0
643,Russian Federation,,23,86238309195.4,387194519952.30005,473432829147.7001,0,224,0.070235,0.227657,15,175,190,2,0.788779,0.866109,24.875391
646,Rwanda,,7,426496255.85,0,426496255.85,0,153,0.066375,0,14,0,14,0,0,0,0
652,Saint Barth̩lemy,,23,87525376,0,87525376,0,216,0.009879,0,2,0,2,0,0,0,0
654,Saint Helena,,23,15876289.56,0,15876289.56,0,206,0.009371,0,2,0,2,0,0,0,0
659,Saint Kitts and Nevis,,26,204262847.929,0,204262847.929,0,176,0.065421,0,14,0,14,0,0,0,0
660,Anguilla,,26,53851903,0,53851903,0,212,0.024141,0,5,0,5,0,0,0,0
662,Saint Lucia,,26,1221467737,0,1221467737,0,190,0.051823,0,11,0,11,0,0,0,0
666,Saint Pierre and Miquelon,,23,42112318,0,42112318,0,211,0.009612,0,2,0,2,0,0,0,0
670,Saint Vincent and the Grenadines,,26,183276679.09,0,183276679.09,0,138,0.056856,0,12,0,12,0,0,0,0
674,San Marino,,23,76600356,0,76600356,0,217,0.019825,0,4,0,4,0,0,0,0
678,Sao Tome and Principe,,7,33446694.42,0,33446694.42,0,201,0.028597,0,6,0,6,0,0,0,0
682,Saudi Arabia,,7,91315633652.5,0,91315633652.5,0,192,0.074484,0,16,0,16,0,0,0,0
686,Senegal,,23,4545458605.63,0,4545458605.63,0,115,0.074484,0,16,0,16,0,0,0,0
688,Serbia,,23,4871838813.153,0,4871838813.153,0,114,0.074484,0,16,0,16,0,0,0,0
690,Seychelles,,7,429554765.896,0,429554765.896,0,113,0.070691,0,15,0,15,0,0,0,0
694,Sierra Leone,,23,591482094.35,0,591482094.35,0,189,0.070691,0,15,0,15,0,0,0,0
699,India,,7,212032560300,314504428188,526536988488,0,224,0.06964,0.259501,15,203,218,2,0.869091,0.924686,27.514663
702,Singapore,,7,187491788528,349766968128,537258756656,0,224,0.069716,0.255462,15,203,218,2,0.869091,0.924686,45.413875
703,Slovakia,,23,27827624841.090996,0,27827624841.090996,0,131,0.074484,0,16,0,16,0,0,0,0
704,Viet Nam,,7,139539859959.7,0,139539859959.7,0,130,0.074484,0,16,0,16,0,0,0,0
705,Slovenia,,23,11142349937.660002,0,11142349937.660002,0,129,0.074484,0,16,0,16,0,0,0,0
706,Somalia,,7,1074216317.395,0,1074216317.395,0,154,0.066375,0,14,0,14,0,0,0,0
710,South Africa,,23,51457364124.4,99172303386.08394,150629667510.48395,0,224,0.070107,0.234474,15,180,195,2,0.802013,0.876569,30.222822
716,Zimbabwe,,23,2848883209.55,0,2848883209.55,0,97,0.074484,0,16,0,16,0,0,0,0
724,Spain,,23,141187805943.80002,0,141187805943.80002,0,96,0.074484,0,16,0,16,0,0,0,0
728,South Sudan,,23,222281898,0,222281898,0,95,0.052468,0,11,0,11,0,0,0,0
729,Sudan,,23,4574624686.304001,0,4574624686.304001,0,94,0.074484,0,16,0,16,0,0,0,0
740,Suriname,,26,923497230.477,0,923497230.477,0,90,0.070235,0,15,0,15,0,0,0,0
748,Swaziland,,23,1343964950.98,0,1343964950.98,0,89,0.057571,0,12,0,12,0,0,0,0
752,Sweden,,23,48646909239.700005,0,48646909239.700005,0,18,0.074484,0,16,0,16,0,0,0,0
757,Switzerland,,23,116674184461.8,0,116674184461.8,0,17,0.074484,0,16,0,16,0,0,0,0
760,Syria,,23,1991936555.79,0,1991936555.79,0,86,0.070168,0,15,0,15,0,0,0,0
762,Tajikistan,,23,2679103056,0,2679103056,0,85,0.057231,0,12,0,12,0,0,0,0
764,Thailand,,7,126067611282.7,0,126067611282.7,0,191,0.074484,0,16,0,16,0,0,0,0
768,Togo,,23,4756606453.24,0,4756606453.24,0,188,0.074484,0,16,0,16,0,0,0,0
776,Tonga,,7,59809359.633,0,59809359.633,0,187,0.048029,0,10,0,10,0,0,0,0
780,Trinidad and Tobago,,26,4535193099.855,0,4535193099.855,0,29,0.074484,0,16,0,16,0,0,0,0
784,United Arab Emirates,,7,153005843316.7,0,153005843316.7,0,28,0.074484,0,16,0,16,0,0,0,0
788,Tunisia,,23,9461736737.527,0,9461736737.527,0,167,0.074484,0,16,0,16,0,0,0,0
792,Turkey,,23,112220259740.4,0,112220259740.4,0,166,0.074484,0,16,0,16,0,0,0,0
795,Turkmenistan,,23,2694785807.6,0,2694785807.6,0,84,0.066315,0,14,0,14,0,0,0,0
796,Turks and Caicos Isds,,26,290772041,0,290772041,0,182,0.047432,0,10,0,10,0,0,0,0
798,Tuvalu,,7,54932132.65,0,54932132.65,0,156,0.028622,0,6,0,6,0,0,0,0
800,Uganda,,7,1819964013.147,0,1819964013.147,0,155,0.074484,0,16,0,16,0,0,0,0
804,Ukraine,,23,21300350428.62,0,21300350428.62,0,179,0.074484,0,16,0,16,0,0,0,0
807,TFYR of Macedonia,,23,1330333483.201,0,1330333483.201,0,147,0.065792,0,14,0,14,0,0,0,0
818,Egypt,,23,39342231405.2,0,39342231405.2,0,146,0.074484,0,16,0,16,0,0,0,0
826,United Kingdom,,23,315448392548,0,315448392548,0,145,0.074484,0,16,0,16,0,0,0,0
834,United Rep. of Tanzania,,23,8358201068.04,0,8358201068.04,0,171,0.074484,0,16,0,16,0,0,0,0
837,Bunkers,,23,3448739867.6,0,3448739867.6,0,207,0.013669,0,3,0,3,0,0,0,0
838,Free Zones,,7,4273683800,0,4273683800,0,220,0.00458,0,1,0,1,0,0,0,0
839,Special Categories,,23,1163448996.19,0,1163448996.19,0,208,0.009353,0,2,0,2,0,0,0,0
842,USA,,26,1512971841520,1541032075362,3054003916882,0,224,0.069489,0.26758,15,222,237,2,0.933594,0.964435,100.540637
854,Burkina Faso,,23,696854417.42,0,696854417.42,0,197,0.070691,0,15,0,15,0,0,0,0
858,Uruguay,,23,7797774178.24,0,7797774178.24,0,196,0.074484,0,16,0,16,0,0,0,0
860,Uzbekistan,,23,7151806854.059401,0,7151806854.059401,0,27,0.070168,0,15,0,15,0,0,0,0
862,Venezuela,,26,19902420131.906,0,19902420131.906,0,26,0.074484,0,16,0,16,0,0,0,0
876,Wallis and Futuna Isds,,23,14285380,0,14285380,0,25,0.018938,0,4,0,4,0,0,0,0
882,Samoa,,7,167407636.9405,0,167407636.9405,0,186,0.047899,0,10,0,10,0,0,0,0
887,Yemen,,23,3059588179.799,0,3059588179.799,0,88,0.074484,0,16,0,16,0,0,0,0
894,Zambia,,23,3815023220.07,0,3815023220.07,0,87,0.074484,0,16,0,16,0,0,0,0
899,"Areas, nes",,7,202178759948.7,0,202178759948.7,0,165,0.0456,0,10,0,10,0,0,0,0
9300,Commonwealth of Independent States,,23,178312710696.7,0,178312710696.7,0,12,0.074484,0,16,0,16,0,0,0,0
9400,Northern Africa,,23,94177153689.9,0,94177153689.9,0,11,0.074484,0,16,0,16,0,0,0,0
9500,Sub-Saharan Africa,,23,217156167570,0,217156167570,0,10,0.074484,0,16,0,16,0,0,0,0
9620,The Caribbean,,26,41400620277.84,0,41400620277.84,0,148,0.074484,0,16,0,16,0,0,0,0
9800,Oceania,,7,25596396452.469997,0,25596396452.469997,0,170,0.074484,0,16,0,16,0,0,0,0
